"docUuid","visitors","desktop_search_R","desktop_search_V","desktop_search_S3"
"c83591a6-a05d-11e8-af80-8f4a631f500f","7469",39,47,39
"158570c8-747d-11e8-aa2c-f0a9a6a83071","7467",0,0,0
"45b330ee-9a18-11e8-b397-f017b12b5a53","7432",54,74,64
"1f70904e-9b02-11e8-bc21-f017b12b5a53","7429",17,24,19
"421f65a6-93f6-11e8-925d-fc60c095174f","7380",4,6,4
"3446b5f6-956d-11e8-a183-fc60c095174f","7224",50,60,56
"2638cfae-9c74-11e8-96ad-a25db12b5a53","7179",62,83,64
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","7128",54,72,58
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","7038",120,160,154
"3924a578-9659-11e8-ae1c-fc60c095174f","6890",12,17,13
"b6f434f0-9631-11e8-8a60-fc60c095174f","6798",5,6,5
"9f71df54-a215-11e8-92a5-8f4a631f500f","6761",19,34,23
"f462cb8c-957b-11e8-b8cb-fc60c095174f","6732",33,75,34
"ab6ccd1a-5fed-11e8-b53b-be327c3166de","6671",3,3,3
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","6554",43,63,47
"9f71df54-a215-11e8-92a5-8f4a631f500f","6436",14,27,15
"21b31f3a-a12d-11e8-be1d-41d95f45639c","6409",52,61,54
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","6408",32,42,34
"10e87e8a-94a2-11e8-ba78-2078d824af27","6365",238,265,243
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","6325",26,38,30
"b9a82542-971e-11e8-815e-fc60c095174f","6280",8,11,9
"adcf3b3c-9ef0-11e8-a762-a25db12b5a53","6259",11,19,12
"b9a82542-971e-11e8-815e-fc60c095174f","6247",6,7,6
"c83591a6-a05d-11e8-af80-8f4a631f500f","6229",30,32,31
"6d99ea58-a125-11e8-85de-8f4a631f500f","6197",15,19,17
"72319330-9ed3-11e8-8dc8-eb1702e95e35","6180",35,39,36
"aa8477c6-a224-11e8-b201-41d95f45639c","6065",13,16,14
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","6055",14,16,14
"8f90dcb2-79fb-11e8-b362-4ceaba6bc217","6054",0,1,0
"3446b5f6-956d-11e8-a183-fc60c095174f","5883",42,49,44
"ab6ccd1a-5fed-11e8-b53b-be327c3166de","5857",2,3,2
"142ff8ac-a55f-11e8-8c59-8f4a631f500f","5776",0,0,0
"6d99ea58-a125-11e8-85de-8f4a631f500f","5696",17,20,18
"c429cfac-9593-11e8-863b-fc60c095174f","5660",47,94,50
"2104c2e2-9eca-11e8-ba53-eb1702e95e35","5626",25,40,25
"f0342652-96f5-11e8-83ad-2078d824af27","5612",6,10,6
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","5593",98,125,119
"fd0296d2-93ff-11e8-a43c-fc60c095174f","5574",81,212,88
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","5525",16,24,16
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","5520",99,137,134
"891d4278-67d4-11e8-9a86-fb1b3249e00a","5482",1,1,1
"9f71df54-a215-11e8-92a5-8f4a631f500f","5440",15,27,16
"108aa054-96fe-11e8-bcbd-2078d824af27","5404",12,19,12
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","5397",19,35,19
"c429cfac-9593-11e8-863b-fc60c095174f","5372",46,76,48
"c43b5286-a146-11e8-bf2c-8f4a631f500f","5363",20,55,53
