"docUuid","visitors","desktop_all_R","desktop_all_V","desktop_all_S3"
"ab6ccd1a-5fed-11e8-b53b-be327c3166de","6598",4109,4603,4231
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","6554",2685,3815,2782
"bb79e6b0-9fb3-11e8-bef0-eb1702e95e35","6486",3016,4814,3983
"9f71df54-a215-11e8-92a5-8f4a631f500f","6436",2832,4181,2955
"21b31f3a-a12d-11e8-be1d-41d95f45639c","6409",1831,2173,2005
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","6408",3140,4235,3223
"10e87e8a-94a2-11e8-ba78-2078d824af27","6365",3762,4379,3882
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","6325",1373,1888,1448
"b9a82542-971e-11e8-815e-fc60c095174f","6280",2776,3753,3044
"adcf3b3c-9ef0-11e8-a762-a25db12b5a53","6259",2179,4709,2351
"639f36c2-00ec-11e8-86c6-d6fd8c1371f3","6247",4799,5403,4805
"b9a82542-971e-11e8-815e-fc60c095174f","6247",2449,3407,2721
"c83591a6-a05d-11e8-af80-8f4a631f500f","6229",3187,4239,3289
"6d99ea58-a125-11e8-85de-8f4a631f500f","6197",1884,2250,1971
"72319330-9ed3-11e8-8dc8-eb1702e95e35","6180",3230,3906,3326
"aa8477c6-a224-11e8-b201-41d95f45639c","6065",2919,3491,3021
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","6055",2163,2862,2251
"3446b5f6-956d-11e8-a183-fc60c095174f","5883",3314,3746,3457
"8f90dcb2-79fb-11e8-b362-4ceaba6bc217","5830",3965,5668,4106
"142ff8ac-a55f-11e8-8c59-8f4a631f500f","5776",2442,3045,2585
"6d99ea58-a125-11e8-85de-8f4a631f500f","5696",1460,1729,1527
"c429cfac-9593-11e8-863b-fc60c095174f","5660",1163,2785,1217
"2104c2e2-9eca-11e8-ba53-eb1702e95e35","5626",2120,3098,2170
"f0342652-96f5-11e8-83ad-2078d824af27","5612",2928,4729,3225
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","5593",3216,3998,3800
"fd0296d2-93ff-11e8-a43c-fc60c095174f","5574",1619,4409,1682
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","5525",2176,4415,2274
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","5520",1885,2356,2240
"9f71df54-a215-11e8-92a5-8f4a631f500f","5440",2058,3079,2155
"108aa054-96fe-11e8-bcbd-2078d824af27","5404",2627,4306,2842
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","5397",1542,2937,1611
"c429cfac-9593-11e8-863b-fc60c095174f","5372",1036,2333,1098
"c43b5286-a146-11e8-bf2c-8f4a631f500f","5363",582,3706,3191
"891d4278-67d4-11e8-9a86-fb1b3249e00a","5359",3414,4729,3555
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","5343",2238,2801,2389
"b9a82542-971e-11e8-815e-fc60c095174f","5342",3026,4186,3384
"aa8477c6-a224-11e8-b201-41d95f45639c","5335",2819,3441,2945
"c43b5286-a146-11e8-bf2c-8f4a631f500f","5268",334,1976,1728
"138ad2d4-9559-11e8-993b-2078d824af27","5167",2296,3940,2555
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","5007",2927,3659,3148
"36b1feec-9ae3-11e8-8c2d-1e0e02e95e35","4952",2169,3408,2523
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","4938",2340,3184,2458
"4b3cddae-9a2b-11e8-a40c-1e0e02e95e35","4916",2893,3363,2992
"5465e68c-9968-11e8-b9c7-852902e95e35","4842",4030,4548,4133
"fe3217ec-9a0f-11e8-b345-107bb12b5a53","4822",1838,3008,2233
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","4792",2436,3662,2529
"c429cfac-9593-11e8-863b-fc60c095174f","4786",1513,3709,1571
"c83591a6-a05d-11e8-af80-8f4a631f500f","4782",3074,4042,3163
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","4756",2809,3448,3175
"9812c736-a211-11e8-9004-8f4a631f500f","4750",1385,3528,1441
"e129338e-963f-11e8-a542-2078d824af27","4645",2105,2644,2368
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","4625",1852,2204,2045
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","4611",1674,2434,1747
"5465e68c-9968-11e8-b9c7-852902e95e35","4600",3779,4299,3875
"456b68e4-9ca8-11e8-884c-eb1702e95e35","4579",2864,3436,3034
"b6f434f0-9631-11e8-8a60-fc60c095174f","4523",1815,2465,1898
"0814e520-9d3d-11e8-89aa-a25db12b5a53","4344",1357,3067,1400
"ab6ccd1a-5fed-11e8-b53b-be327c3166de","4329",3136,3514,3224
"21b31f3a-a12d-11e8-be1d-41d95f45639c","4323",2251,2596,2409
"cf8d0e1c-9639-11e8-936f-2078d824af27","4280",2038,3568,2722
"e9383386-995f-11e8-a4ed-852902e95e35","4276",1552,2961,1698
"bce1283c-a1fd-11e8-897e-41d95f45639c","4265",1719,3361,1836
"10e87e8a-94a2-11e8-ba78-2078d824af27","4224",3028,3376,3119
"42321806-94b7-11e8-9e55-fc60c095174f","4223",2398,3113,2533
"3446b5f6-956d-11e8-a183-fc60c095174f","4101",2744,3144,2881
"ea50192c-9708-11e8-82a3-2078d824af27","4046",2548,3161,2946
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","3981",1746,2153,1846
"ab6ccd1a-5fed-11e8-b53b-be327c3166de","3980",2645,3052,2723
