"docUuid","visitors","MAX(shareTotal)","visits_social","social_R","social_V","social_S3"
"ed3a207c-a457-11e8-8f32-8f4a631f500f","15620",6,"16","5","5","5"
"07b77414-9f98-11e8-b572-eb1702e95e35","15521",20,"5","0","0","0"
"e9383386-995f-11e8-a4ed-852902e95e35","15517",2,"2","0","1","0"
"1f70904e-9b02-11e8-bc21-f017b12b5a53","15469",2,"1","1","1","1"
"a5dc0066-a154-11e8-84d8-8f4a631f500f","15155",24,"5","2","3","3"
"ae91f93c-964f-11e8-aa2d-2078d824af27","15148",184,"29","7","11","7"
"c5eb79ce-a085-11e8-a080-41d95f45639c","15126",19,"14","4","5","4"
"b6f434f0-9631-11e8-8a60-fc60c095174f","15109",3,"15","5","6","5"
"3924a578-9659-11e8-ae1c-fc60c095174f","14908",4,"21","4","6","4"
"bce1283c-a1fd-11e8-897e-41d95f45639c","14768",9,"5","1","1","1"
"e028d788-a1f1-11e8-9f37-8f4a631f500f","14689",159,"9","1","2","1"
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","14645",64,"1","0","0","0"
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","14585",12,"13","8","8","8"
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","14492",64,"4","0","1","0"
"69f972a4-a168-11e8-9077-41d95f45639c","14266",214,"3","0","0","0"
"ae91f93c-964f-11e8-aa2d-2078d824af27","14056",221,"7","5","6","5"
"e129338e-963f-11e8-a542-2078d824af27","14050",40,"13","8","8","8"
"5e3eb89a-a472-11e8-bd25-41d95f45639c","14045",2,"22","9","10","9"
"ea50192c-9708-11e8-82a3-2078d824af27","14018",5,"2","2","2","2"
"4f70ab5a-9a33-11e8-a608-f017b12b5a53","14011",19,"6","4","4","4"
"bb79e6b0-9fb3-11e8-bef0-eb1702e95e35","13961",6,"7","2","2","2"
"4b3cddae-9a2b-11e8-a40c-1e0e02e95e35","13925",15,"5","2","2","2"
"5ee74e7c-9ef2-11e8-9047-eb1702e95e35","13557",29,"9","1","3","2"
"9da0e2ba-a526-11e8-9b22-8f4a631f500f","13500",2,"5","3","3","3"
"a5dc0066-a154-11e8-84d8-8f4a631f500f","13494",28,"0","0","0","0"
"0e3b9ca8-9ef7-11e8-9137-eb1702e95e35","12898",121,"20","3","5","3"
